Date,Name,Year,Letterboxd URI
2021-03-12,The Empire Strikes Back,1980,https://boxd.it/27Vw
2021-03-12,Star Wars,1977,https://boxd.it/72s
2021-03-12,Return of the Jedi,1983,https://boxd.it/27Vm
2021-03-12,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2021-03-12,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2021-03-12,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2021-03-12,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2021-03-12,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-03-12,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2021-03-12,Palm Springs,2020,https://boxd.it/lCXQ
2021-03-13,Taxi Driver,1976,https://boxd.it/2b8y
2021-03-13,Reservoir Dogs,1992,https://boxd.it/2agc
2021-03-13,X-Men: First Class,2011,https://boxd.it/FOA
2021-03-14,The Art of Self-Defense,2019,https://boxd.it/hf5y
2021-03-15,Finding Dory,2016,https://boxd.it/4aAA
2021-03-15,The Nice Guys,2016,https://boxd.it/94Hg
2021-03-15,Deadpool,2016,https://boxd.it/9fOC
2021-03-15,Batman vs. Robin,2015,https://boxd.it/aqNs
2021-03-15,Rise of the Planet of the Apes,2011,https://boxd.it/cS4
2021-03-16,The Shining,1980,https://boxd.it/29Nu
2021-03-16,Gone Girl,2014,https://boxd.it/6hQu
2021-03-16,Us,2019,https://boxd.it/gnV6
2021-03-16,The Shape of Water,2017,https://boxd.it/dZ5m
2021-03-16,Alien,1979,https://boxd.it/2awY
2021-03-16,Finding Nemo,2003,https://boxd.it/72i
2021-03-16,Zootopia,2016,https://boxd.it/84xS
2021-03-16,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2021-03-16,V for Vendetta,2005,https://boxd.it/29Ik
2021-03-16,Skyfall,2012,https://boxd.it/17Fc
2021-03-16,Crazy Rich Asians,2018,https://boxd.it/gfnK
2021-03-16,Beauty and the Beast,2017,https://boxd.it/ar0c
